event_date,event_name,event_name_long,price_code,section_name,row_name,first_seat,last_seat,num_seats,block_purchase_price,sale_date,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,202,11,1,2,2,198,37:32.4,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,V*,218,1,9,10,2,250,37:55.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,V*,218,1,9,10,2,270,38:46.5,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,U*,207,11,24,25,2,280,28:53.6,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,Y*,202,9,7,8,2,260,40:28.8,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,W*,218,3,12,13,2,300,40:44.6,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,V*,231,1,15,16,2,250,40:46.6,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,W*,218,3,12,13,2,300,41:33.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,X*,203,10,7,7,1,139,20:30.0,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,U*,219,1,12,13,2,310,22:02.8,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,E*,9,13,15,16,2,950,42:09.8,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,W*,209,17,25,26,2,300,46:01.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,E*,9,14,11,12,2,770,47:09.5,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,J*,26,18,3,4,2,530,48:19.1,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,T*,207,7,19,20,2,420,48:34.9,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,S*,207,1,23,24,2,490,49:24.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,E*,9,14,7,8,2,770,51:28.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,V*,207,13,23,24,2,270,53:30.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,L*,19,19,5,7,3,720,53:34.6,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,219,1,11,12,2,290,54:04.8,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,V*,218,1,1,2,2,270,55:03.4,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,R*,102,6,3,4,2,370,55:21.1,185,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,207,18,1,2,2,250,56:44.4,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,102,4,1,4,4,840,56:59.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,X*,219,10,10,11,2,220,57:02.8,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,231,9,3,4,2,198,57:14.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,X*,201,7,1,2,2,220,58:01.5,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,T*,207,5,4,4,1,160,03:01.5,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,W*,201,2,3,4,2,250,35:06.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,D*,8,17,11,12,2,1040,47:40.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,229,12,1,2,2,258,13:34.7,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,228,13,10,13,4,516,15:21.5,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,228,5,1,2,2,290,23:08.5,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,X*,215,6,3,5,3,417,26:49.4,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,V*,221,2,3,3,1,139,27:39.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,210,9,8,9,2,290,28:55.6,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,L*,31,16,12,13,2,578,31:34.5,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,228,14,3,5,3,327,36:13.9,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,W*,207,21,13,14,2,230,05:57.5,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,209,9,9,9,1,145,06:01.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,207,8,25,26,2,290,06:39.4,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,203,12,9,12,4,396,08:12.5,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,9,18,3,4,2,680,12:19.4,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,J*,19,14,10,10,1,245,39:21.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,202,9,11,12,2,210,39:25.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,K*,19,15,10,11,2,490,39:33.6,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,218,13,7,10,4,396,40:21.7,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,K*,19,15,18,18,1,245,40:44.3,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,6,1,2,2,460,52:26.7,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,K*,16,12,9,10,2,610,52:31.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,R*,112,7,9,10,2,450,03:38.1,225,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,U*,204,1,10,10,1,155,04:22.8,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,U*,220,1,3,4,2,310,06:13.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,214,9,9,12,4,516,08:49.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,228,5,21,22,2,290,15:25.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,K*,19,15,19,19,1,245,40:44.3,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,L*,19,18,21,21,1,295,40:51.4,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,218,13,11,14,4,396,41:11.4,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,K*,17,14,1,1,1,230,42:51.6,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,T*,207,7,15,16,2,410,26:44.6,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,V*,219,2,19,20,2,278,29:44.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,209,20,20,22,3,435,31:17.2,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,V*,207,12,25,26,2,278,41:45.6,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,M*,31,19,1,2,2,440,34:25.3,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,R*,118,6,1,2,2,560,36:26.3,280,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,V*,219,3,19,20,2,400,40:53.8,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,B*,8,11,13,16,4,2660,37:13.8,,,
5/25/2021,20PNR1GB,2021 NBA Playoffs - Round 1 - Home Game B,W*,226,11,17,18,2,460,46:19.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,201,2,1,2,2,290,51:29.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,202,10,16,17,2,258,55:10.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,J*,1,10,11,12,2,640,55:22.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,C*,7,10,8,11,4,2380,57:46.2,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,K*,17,14,2,2,1,230,42:51.6,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,M*,31,19,12,13,2,430,42:53.6,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,217,13,5,6,2,210,43:08.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,D*,26,6,1,4,4,1820,43:15.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,9,18,2,2,1,340,43:19.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,9,18,6,6,1,340,43:19.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,218,13,7,10,4,420,43:38.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,9,18,7,8,2,680,44:17.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,9,18,14,14,1,340,44:17.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,217,9,5,6,2,210,44:24.7,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,H*,26,15,1,4,4,1520,44:43.6,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,218,13,16,19,4,396,44:44.9,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,R*,112,8,21,22,2,370,45:09.1,185,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,202,11,1,4,4,420,45:09.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,X*,202,5,8,8,1,110,45:09.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,I*,19,11,14,14,1,285,45:15.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,I*,19,11,16,16,1,285,45:15.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,218,13,16,19,4,420,45:25.5,,,
