,event_date,event_id,event_name,section_name,row_name,ticket_type,add_datetime,sale_price,acct_id,channel,sale_type,seat_num
6410,6/7/2021,64626,20PNR2VB,222,4,Full Strip,27:01.3,200,28314229,Internal,Archtics,20
6411,6/5/2021,64625,20PNR2VA,222,5,Full Strip,27:45.5,175,28286633,Internal,Archtics,20
6412,6/7/2021,64626,20PNR2VB,222,5,Full Strip,27:45.5,175,28286633,Internal,Archtics,20
6413,6/7/2021,64626,20PNR2VB,222,5,Full Strip,27:45.5,175,28286633,Internal,Archtics,18
6414,6/5/2021,64625,20PNR2VA,6,18,Full Strip,30:04.9,345,22291513,Internal,Archtics,8
6415,6/7/2021,64626,20PNR2VB,6,18,Full Strip,30:04.9,345,22291513,Internal,Archtics,8
6416,6/5/2021,64625,20PNR2VA,7,18,Full Strip,56:24.8,445,18629320,Internal,Archtics,10
6417,6/7/2021,64626,20PNR2VB,7,18,Full Strip,56:24.8,445,18629320,Internal,Archtics,10
6418,6/5/2021,64625,20PNR2VA,7,19,Full Strip,56:24.8,445,18629320,Internal,Archtics,14
6419,6/7/2021,64626,20PNR2VB,7,19,Full Strip,56:24.8,445,18629320,Internal,Archtics,14
6420,6/5/2021,64625,20PNR2VA,223,19,Full Strip,56:57.7,160,13984865,Internal,Archtics,23
6421,6/7/2021,64626,20PNR2VB,223,19,Full Strip,56:57.7,160,13984865,Internal,Archtics,23
6422,6/5/2021,64625,20PNR2VA,222,11,Full Strip,58:05.5,160,19039719,Internal,Archtics,12
6423,6/5/2021,64625,20PNR2VA,222,11,Full Strip,58:05.5,160,19039719,Internal,Archtics,10
6424,6/7/2021,64626,20PNR2VB,222,11,Full Strip,58:05.5,160,19039719,Internal,Archtics,10
6425,6/7/2021,64626,20PNR2VB,222,11,Full Strip,58:05.5,160,19039719,Internal,Archtics,12
6426,6/5/2021,64625,20PNR2VA,223,21,Full Strip,57:20.2,160,18853417,Internal,Archtics,26
6427,6/7/2021,64626,20PNR2VB,223,21,Full Strip,57:20.2,160,18853417,Internal,Archtics,26
6428,6/5/2021,64625,20PNR2VA,28,15,Full Strip,59:51.3,325,7041002,Internal,Archtics,4
6429,6/7/2021,64626,20PNR2VB,28,15,Full Strip,59:51.3,325,7041002,Internal,Archtics,4
6430,6/7/2021,64626,20PNR2VB,28,15,Full Strip,59:51.3,325,7041002,Internal,Archtics,2
6431,6/5/2021,64625,20PNR2VA,223,21,Full Strip,58:47.2,160,18846004,Internal,Archtics,17
6432,6/5/2021,64625,20PNR2VA,223,14,Full Strip,55:29.1,175,11715215,Internal,Archtics,4
